edam_operation,edam_input_data,edam_input_format,edam_output_data,edam_output_format,benchmarker,benchmarker_priority
operation_0492,data_1233,format_1929,data_1384,format_1984,bali_score,1
operation_0492,data_1233,format_1929,data_1384,format_1984,bali_score_test,2
